BATTLE CITY - BOSS FIGHT LOG
----------------------------
Tick 226: Raw=20, Pruned=24, Speedup=0.83x
Tick 227: Raw=20, Pruned=24, Speedup=0.83x
Tick 228: Raw=20, Pruned=24, Speedup=0.83x
Tick 229: Raw=20, Pruned=24, Speedup=0.83x
Tick 230: Raw=20, Pruned=24, Speedup=0.83x
Tick 231: Raw=20, Pruned=24, Speedup=0.83x
Tick 232: Raw=20, Pruned=24, Speedup=0.83x
Tick 233: Raw=20, Pruned=24, Speedup=0.83x
Tick 234: Raw=20, Pruned=24, Speedup=0.83x
Tick 235: Raw=20, Pruned=24, Speedup=0.83x
Tick 236: Raw=20, Pruned=24, Speedup=0.83x
Tick 237: Raw=20, Pruned=24, Speedup=0.83x
Tick 238: Raw=20, Pruned=24, Speedup=0.83x
Tick 239: Raw=20, Pruned=24, Speedup=0.83x
Tick 240: Raw=20, Pruned=24, Speedup=0.83x
Tick 241: Raw=20, Pruned=24, Speedup=0.83x
Tick 242: Raw=20, Pruned=24, Speedup=0.83x
Tick 243: Raw=20, Pruned=24, Speedup=0.83x
Tick 244: Raw=20, Pruned=24, Speedup=0.83x
Tick 245: Raw=20, Pruned=24, Speedup=0.83x
Tick 246: Raw=20, Pruned=24, Speedup=0.83x
Tick 247: Raw=20, Pruned=24, Speedup=0.83x
Tick 248: Raw=20, Pruned=24, Speedup=0.83x
Tick 249: Raw=20, Pruned=24, Speedup=0.83x
Tick 250: Raw=20, Pruned=24, Speedup=0.83x
Tick 251: Raw=20, Pruned=24, Speedup=0.83x
Tick 252: Raw=20, Pruned=24, Speedup=0.83x
Tick 253: Raw=20, Pruned=24, Speedup=0.83x
Tick 254: Raw=20, Pruned=24, Speedup=0.83x
Tick 255: Raw=20, Pruned=24, Speedup=0.83x
Tick 256: Raw=20, Pruned=24, Speedup=0.83x
Tick 257: Raw=20, Pruned=24, Speedup=0.83x
Tick 258: Raw=20, Pruned=24, Speedup=0.83x
Tick 259: Raw=20, Pruned=24, Speedup=0.83x
Tick 260: Raw=20, Pruned=24, Speedup=0.83x
Tick 261: Raw=20, Pruned=24, Speedup=0.83x
Tick 262: Raw=20, Pruned=24, Speedup=0.83x
Tick 263: Raw=20, Pruned=24, Speedup=0.83x
Tick 264: Raw=20, Pruned=24, Speedup=0.83x
Tick 265: Raw=20, Pruned=24, Speedup=0.83x
Tick 266: Raw=20, Pruned=24, Speedup=0.83x
Tick 267: Raw=20, Pruned=24, Speedup=0.83x
Tick 268: Raw=20, Pruned=24, Speedup=0.83x
Tick 269: Raw=20, Pruned=24, Speedup=0.83x
Tick 270: Raw=20, Pruned=24, Speedup=0.83x
Tick 271: Raw=20, Pruned=24, Speedup=0.83x
Tick 272: Raw=20, Pruned=24, Speedup=0.83x
Tick 273: Raw=20, Pruned=24, Speedup=0.83x
Tick 274: Raw=20, Pruned=24, Speedup=0.83x
Tick 275: Raw=20, Pruned=24, Speedup=0.83x
Tick 276: Raw=20, Pruned=24, Speedup=0.83x
Tick 277: Raw=20, Pruned=24, Speedup=0.83x
Tick 278: Raw=20, Pruned=24, Speedup=0.83x
Tick 279: Raw=20, Pruned=24, Speedup=0.83x
Tick 280: Raw=20, Pruned=24, Speedup=0.83x
Tick 281: Raw=20, Pruned=24, Speedup=0.83x
Tick 282: Raw=20, Pruned=24, Speedup=0.83x
Tick 283: Raw=20, Pruned=24, Speedup=0.83x
Tick 284: Raw=20, Pruned=24, Speedup=0.83x
Tick 285: Raw=20, Pruned=24, Speedup=0.83x
Tick 286: Raw=20, Pruned=24, Speedup=0.83x
Tick 287: Raw=20, Pruned=24, Speedup=0.83x
Tick 288: Raw=20, Pruned=24, Speedup=0.83x
Tick 289: Raw=20, Pruned=24, Speedup=0.83x
Tick 290: Raw=20, Pruned=24, Speedup=0.83x
Tick 291: Raw=20, Pruned=24, Speedup=0.83x
Tick 292: Raw=20, Pruned=24, Speedup=0.83x
Tick 293: Raw=20, Pruned=24, Speedup=0.83x
Tick 294: Raw=20, Pruned=24, Speedup=0.83x
Tick 295: Raw=20, Pruned=24, Speedup=0.83x
Tick 296: Raw=20, Pruned=24, Speedup=0.83x
Tick 297: Raw=20, Pruned=24, Speedup=0.83x
Tick 298: Raw=20, Pruned=24, Speedup=0.83x
Tick 299: Raw=20, Pruned=24, Speedup=0.83x
Tick 300: Raw=20, Pruned=24, Speedup=0.83x
